System,T,GammaInf,Ref
"n-hexane/glycerol",303.15,414,"DOI: 10.1021/je900686n"
"n-heptane/glycerol",303.15,580,"DOI: 10.1021/je900686n"
"n-octane/glycerol",303.15,677,"DOI: 10.1021/je900686n"
"cyclohexane/glycerol",303.15,232,"DOI: 10.1021/je900686n"
"benzene/glycerol",303.15,60.1,"DOI: 10.1021/je900686n"
"benzene/glycerol",343.15,37.9,"DOI: 10.1021/je900686n"
"toluene/glycerol",303.15,128,"DOI: 10.1021/je900686n"
