System,T(K),GammaInf,"DOI 10.1007/s10822-006-9079-6",
"1-Hexanol/water","298.15","796.32","DOI 10.1007/s10822-006-9079-6",
"Isobutyl acetate/water","298.15","845.56","DOI 10.1007/s10822-006-9079-6",
"Isobutyl methyl ether/water","298.15","441.42","DOI 10.1007/s10822-006-9079-6",
"Isopentyl acetate/water","298.15","2980.96","DOI 10.1007/s10822-006-9079-6",
"Isopropyl acetate/water","298.15","196.37","DOI 10.1007/s10822-006-9079-6",
"Isopropyl butyrate/water","298.15","3071.74","DOI 10.1007/s10822-006-9079-6",
"Isopropyl propyl ether/water","298.15","1199.91","DOI 10.1007/s10822-006-9079-6",
"Methyl acetate/water","298.15","22.65","DOI 10.1007/s10822-006-9079-6",
"Methyl butyrate/water","298.15","330.3","DOI 10.1007/s10822-006-9079-6",
"Methyl formate/water","298.15","15.49","DOI 10.1007/s10822-006-9079-6",
"Methyl hexanoate/water","298.15","3983.83","DOI 10.1007/s10822-006-9079-6",
"Methyl isobutyrate/water","298.15","307.97","DOI 10.1007/s10822-006-9079-6",
"Methyl pentanoate/water","298.15","1261.43","DOI 10.1007/s10822-006-9079-6",
"Methyl propanoate/water","298.15","87.36","DOI 10.1007/s10822-006-9079-6",
"Methyl propyl ether/water","298.15","131.63","DOI 10.1007/s10822-006-9079-6",
"n-Butyl acetate/water","298.15","812.41","DOI 10.1007/s10822-006-9079-6",
"n-Hexyl acetate/water","298.15","12456.53","DOI 10.1007/s10822-006-9079-6",
"1-Nonanal/water","298.15","75357.6","DOI 10.1007/s10822-006-9079-6",
"1-Nonanol/water","298.15","61697.58","DOI 10.1007/s10822-006-9079-6",
"n-Pentyl acetate/water","298.15","3229.23","DOI 10.1007/s10822-006-9079-6",
"n-Propyl acetate/water","298.15","242.26","DOI 10.1007/s10822-006-9079-6",
"n-Propyl formate/water","298.15","169.02","DOI 10.1007/s10822-006-9079-6",
"n-Propyl propionate/water","298.15","1085.72","DOI 10.1007/s10822-006-9079-6",
"1-Octadecanol/water","298.15","13690938122.32","DOI 10.1007/s10822-006-9079-6",
"1-Octanal/water","298.15","8266.78","DOI 10.1007/s10822-006-9079-6",
"1-Octanol/water","298.15","14185.85","DOI 10.1007/s10822-006-9079-6",
"Pentadecanol/water","298.15","141810185.57","DOI 10.1007/s10822-006-9079-6",
"n-Pentanal/water","298.15","219.2","DOI 10.1007/s10822-006-9079-6",
"n-Pentanoic acid/water","298.15","126.47","DOI 10.1007/s10822-006-9079-6",
"n-Pentanol/water","298.15","198.34","DOI 10.1007/s10822-006-9079-6",
"n-Propanol/water","298.15","13.46","DOI 10.1007/s10822-006-9079-6",
"Propanal/water","298.15","12.94","DOI 10.1007/s10822-006-9079-6",
"sec-Butyl methyl ether/water","298.15","301.87","DOI 10.1007/s10822-006-9079-6",
"tert-Butanol/water","298.15","11.94","DOI 10.1007/s10822-006-9079-6",
"tert-Butyl methyl ether/water","298.15","113.3","DOI 10.1007/s10822-006-9079-6",
"1-Tetradecanol/water","298.15","39824784.4","DOI 10.1007/s10822-006-9079-6",
