System,T(K),GammaInf,Ref
"acetic acid/cyclohexane",298,21.59,6
"acetic acid/cyclohexane",318,22.38,6
"propionic acid/cyclohexane",298,13,5
"propionic acid/cyclohexane",318,12.33,6
