"system","T(K)","gamainf","ref"
"2-methylhexane/N-dotriacontane",353.15,0.74,"http://dx.doi.org/10.1021/je60065a015"
"2-methylhexane/N-tetratriacontane",353.15,0.715,"http://dx.doi.org/10.1021/je60065a015"
"2-methylhexane/N-hexatriacontane",353.15,0.691,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/n-eicosane",353.15,0.937,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-docosane",353.15,0.94,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-tetracosane",353.15,0.865,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-octacosane",353.15,0.812,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-triacontane",353.15,0.786,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-dotriacontane",353.15,0.765,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-tetratriacontane",353.15,0.74,"http://dx.doi.org/10.1021/je60065a015"
"2-methylheptane/N-hexatriacontane",353.15,0.714,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/n-eicosane",353.15,0.856,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-docosane",353.15,0.847,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-tetracosane",353.15,0.772,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-octacosane",353.15,0.726,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-triacontane",353.15,0.699,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-dotriacontane",353.15,0.678,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-tetratriacontane",353.15,0.652,"http://dx.doi.org/10.1021/je60065a015"
"3-methylpentane/N-hexatriacontane",353.15,0.63,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/n-eicosane",353.15,0.901,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-docosane",353.15,0.884,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-tetracosane",353.15,0.82,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-octacosane",353.15,0.761,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-triacontane",353.15,0.735,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-dotriacontane",353.15,0.715,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-tetratriacontane",353.15,0.689,"http://dx.doi.org/10.1021/je60065a015"
"3-methylhexane/N-hexatriacontane",353.15,0.666,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/n-eicosane",353.15,0.927,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-docosane",353.15,0.924,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-tetracosane",353.15,0.849,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-octacosane",353.15,0.801,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-triacontane",353.15,0.768,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-dotriacontane",353.15,0.753,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-tetratriacontane",353.15,0.725,"http://dx.doi.org/10.1021/je60065a015"
"3-methylheptane/N-hexatriacontane",353.15,0.7,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/n-eicosane",353.15,0.93,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-docosane",353.15,0.925,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-tetracosane",353.15,0.85,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-octacosane",353.15,0.8,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-triacontane",353.15,0.776,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-dotriacontane",353.15,0.756,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-tetratriacontane",353.15,0.731,"http://dx.doi.org/10.1021/je60065a015"
"4-methylheptane/N-hexatriacontane",353.15,0.704,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/n-eicosane",353.15,0.896,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-docosane",353.15,0.888,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-tetracosane",353.15,0.823,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-octacosane",353.15,0.765,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-triacontane",353.15,0.736,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-dotriacontane",353.15,0.714,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-tetratriacontane",353.15,0.69,"http://dx.doi.org/10.1021/je60065a015"
"2,2-dimethylbutane/N-hexatriacontane",353.15,0.666,"http://dx.doi.org/10.1021/je60065a015"
n-pentane/n-heptane,293.15,1,"Satoru Kato, 2002"
n-pentane/n-octane,293.15,0.97,"Satoru Kato, 2002"
n-pentane/n-octane,293.15,0.97,"Satoru Kato, 2002"
n-pentane/n-dodecane,298.15,0.956,"Satoru Kato, 2002"
n-pentane/n-hexadecane,298.15,0.864,"Satoru Kato, 2002"
n-pentane/n-octadecane,298.15,0.870,"Satoru Kato, 2002"
n-pentane/n-eicosane,298.15,0.832,"Satoru Kato, 2002"
n-pentane/n-docosane,298.15,0.791,"Satoru Kato, 2002"
n-pentane/n-tetracosane,298.15,0.741,"Satoru Kato, 2002"
n-hexane/n-heptane,293.15,1,"Satoru Kato, 2002"
n-hexane/n-dodecane,298.15,0.992,"Satoru Kato, 2002"
n-hexane/n-hexadecane,298.15,0.897,"Satoru Kato, 2002"
n-hexane/n-octadecane,298.15,0.874,"Satoru Kato, 2002"
n-hexane/n-eicosane,298.15,0.851,"Satoru Kato, 2002"
n-hexane/n-docosane,298.15,0.804,"Satoru Kato, 2002"
n-hexane/n-tetracosane,298.15,0.779,"Satoru Kato, 2002"
n-hexane/n-octacosane,298.15,0.735,"Satoru Kato, 2002"
n-hexane/n-hexatriacontane,298.15,0.634,"Satoru Kato, 2002"
n-heptane/n-dodecane,298.15,1.050,"Satoru Kato, 2002"
n-heptane/n-hexadecane,298.15,0.913,"Satoru Kato, 2002"
n-heptane/n-octadecane,298.15,0.892,"Satoru Kato, 2002"
n-heptane/n-eicosane,298.15,0.876,"Satoru Kato, 2002"
n-heptane/n-tetracosane,298.15,0.801,"Satoru Kato, 2002"
n-heptane/n-hexatriacontane,298.15,0.650,"Satoru Kato, 2002"
n-octadecane/n-hexane,298.15,0.78,"10.1016/S0378-3812(96)03145-7, apud Kniaz 1991"
n-octadecane/n-heptane,298.15,0.91,"10.1016/S0378-3812(96)03145-7"
?propane/n-decylcyclohexane,311.8,1.018,"10.1006/jcht.1997.0284"
